Time;Acceleration x-axis;Acceleration y-axis;Acceleration z-axis;Gravitation x-axis;Gravitation y-axis;Gravitation z-axis;Linear acceleration x-axis;Linear acceleration y-axis;Linear acceleration z-axis;Gyroscope x-axis;Gyroscope y-axis;Gyroscope z-axis;Orientation x-axis (in degrees);Orientation y-axis (in degrees);Orientation z-axis (in degrees)
30550;0.1389;0.0144;9.8644;0.1414;0.0385;9.8056;-0.0049;-0.005;0.0517;0.0006;0.001;-0.0002;190.97;-0.22;-0.83
31051;0.1389;0.0287;9.8381;0.1412;0.0344;9.8056;-0.0023;-0.0057;0.0325;0;-0.0015;-0.0002;191;-0.21;-0.82
31551;0.1293;0.0383;9.8381;0.1289;0.037;9.8057;0.0004;0.0013;0.0323;0.0006;-0.0003;-0.0009;188.55;-0.22;-0.76
32050;0.1173;0.0359;9.8381;0.1255;0.0338;9.8058;-0.0082;0.0022;0.0323;-0.0006;-0.0003;0.0004;188.56;-0.2;-0.78
32550;0.1245;0.0311;9.862;0.1348;0.0366;9.8057;-0.0103;-0.0054;0.0564;-0.0006;0.0003;-0.0002;190.9;-0.21;-0.79
33050;0.103;0.0383;9.85;0.1288;0.0377;9.8057;-0.0019;-0.0018;0.0395;-0.0012;-0.0009;-0.0002;190.88;-0.22;-0.76
33551;0.1413;0.0383;9.8453;0.1222;0.0372;9.8058;-0.0169;-0.0157;0.0658;0.0012;-0.0003;-0.0002;190.78;-0.21;-0.7
34050;0.1173;0.0407;9.8189;0.1207;0.0385;9.8058;-0.0058;0.0022;0.0466;0.0006;0.0003;0.0004;190.8;-0.23;-0.71
34550;0.1245;0.0335;9.8692;0.1218;0.0374;9.8058;0.0031;-0.0033;0.0634;0.0012;-0.0002;0.0004;190.8;-0.22;-0.71
35050;0.1125;0.0383;9.8357;0.12;0.0378;9.8058;-0.0006;0.0022;0.0394;0.0012;-0.0002;-0.0008;188.42;-0.22;-0.7
35550;0.1149;0.0239;9.8572;0.1197;0.0371;9.8058;0.0198;-0.0027;0.049;-0.0006;0.001;0.0004;188.44;-0.23;-0.7
36051;0.1269;0.0263;9.8309;0.1191;0.0368;9.8059;0.0003;0.0018;0.037;0;0.0004;-0.0008;190.74;-0.21;-0.7
36551;0.1125;0.0407;9.8764;0.1199;0.0373;9.8058;0.003;0.0065;0.0538;-0.0006;-0.0008;-0.0002;190.76;-0.21;-0.69
37050;0.1221;0.0287;9.8381;0.1208;0.0379;9.8058;0.0045;0.0168;0.0275;0.0006;0.0004;0.0004;190.75;-0.21;-0.7
37551;0.1173;0.0479;9.8668;0.1211;0.0366;9.8058;-0.0013;-0.0056;0.0586;0;-0.0002;0.0004;188.42;-0.21;-0.71
38051;0.1173;0.0527;9.8453;0.1229;0.0369;9.8058;-0.0078;0.0143;0.0466;-0.0012;0.0004;-0.0002;188.82;-0.21;-0.71
38550;0.1173;0.0431;9.8596;0.1217;0.0375;9.8058;0.0029;0.0054;0.0562;-0.0001;-0.0001;-0.0002;188.46;-0.22;-0.71
39050;0.1125;0.0383;9.8381;0.1222;0.0367;9.8058;0.0098;-0.0112;0.0394;-0.0013;0.0005;-0.0008;191.26;-0.22;-0.71
39551;0.1173;0.0335;9.862;0.1196;0.0368;9.8059;0.0013;0.0017;0.061;-0.0007;0.0005;-0.0002;190.78;-0.22;-0.7
40050;0.1293;0.0359;9.8405;0.1219;0.0388;9.8058;0.0023;0.0019;0.049;-0.0007;-0.0001;-0.0002;188.44;-0.23;-0.71
40551;0.1101;0.0144;9.8692;0.1204;0.0382;9.8058;0.0112;0.0063;0.061;-0.0007;0.0018;-0.0002;191.21;-0.22;-0.7
41051;0.1125;0.0599;9.8477;0.1202;0.0357;9.8058;-0.0048;0.0057;0.0394;-0.0001;0.0005;-0.0008;188.44;-0.21;-0.7
