ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);;Time since start in ms ;;;;;;;;;;;;;;;;;;Verschil tussen twee meetpunten;;;;;;;;;;;;;;;;;;;
-0,0012;-0,004;0,0586;;;;0,062193;0,0113102;3,1041584;;3,12E-02;6,14E-03;1,54E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0223;0,0038;0,0778;;;;0,051043;0,0132102;3,1430584;;2,83E-02;6,13E-03;1,56E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0064;0,0194;0,061;;;;0,054243;0,0229102;3,1735584;;2,63E-02;9,03E-03;1,58E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0047;-0,0095;0,0681;;;;0,0518883;0,0181507;3,2076765;;2,66E-02;1,03E-02;1,60E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0042;-0,004;0,0466;;;;0,0539841;0,0161547;3,2309299;;2,64E-02;8,56E-03;1,61E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0121;0,0032;0,0634;;;;0,0479341;0,0177547;3,2626299;;2,55E-02;8,48E-03;1,62E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0047;-0,0084;0,0466;;;;0,0455841;0,0135547;3,2859299;;2,34E-02;7,83E-03;1,64E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0076;0,0143;0,073;;;;0,0417841;0,0207047;3,3224299;;2,18E-02;8,56E-03;1,65E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0067;0,0024;0,0705;;;;0,0451408;0,0219071;3,3577504;;2,18E-02;1,07E-02;1,67E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0038;-0,0019;0,0682;;;;0,0432446;0,020959;3,3917822;;2,21E-02;1,07E-02;1,68E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,004;0,0036;0,0586;;;;0,0452446;0,022759;3,4210822;;2,21E-02;1,09E-02;1,70E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
